class,prompt_id,prompt_text,iteration,filename,filepath,model,status,timestamp
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",0,nano_NORM_NORM_01_000.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_000.png,gemini-3-pro-image,success,2026-05-30T21:50:40.443858
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",1,nano_NORM_NORM_01_001.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_001.png,gemini-3-pro-image,success,2026-05-30T21:51:08.157572
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",2,nano_NORM_NORM_01_002.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_002.png,gemini-3-pro-image,success,2026-05-30T21:51:38.884001
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",3,nano_NORM_NORM_01_003.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_003.png,gemini-3-pro-image,success,2026-05-30T21:52:06.781474
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",4,nano_NORM_NORM_01_004.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_004.png,gemini-3-pro-image,success,2026-05-30T21:52:39.691918
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",5,nano_NORM_NORM_01_005.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_005.png,gemini-3-pro-image,success,2026-05-30T21:53:45.466190
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",6,nano_NORM_NORM_01_006.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_006.png,gemini-3-pro-image,success,2026-05-30T21:54:16.907610
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",7,nano_NORM_NORM_01_007.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_007.png,gemini-3-pro-image,success,2026-05-30T21:54:54.147547
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",8,nano_NORM_NORM_01_008.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_008.png,gemini-3-pro-image,success,2026-05-30T21:55:23.245223
NORM,NORM_01,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing.",9,nano_NORM_NORM_01_009.png,C:\Users\taimo\OneDrive\Documents 1\work\ecg-synthetic-research\data\rendered\imagen\NORM\nano_NORM_NORM_01_009.png,gemini-3-pro-image,success,2026-05-30T21:55:59.319166
