prompt_id,class,prompt_text
NORM_01,NORM,"A standard 12-lead clinical ECG printout showing normal sinus rhythm at 72 beats per minute. Regular P waves preceding each QRS complex, narrow QRS duration of 80ms, normal PR interval of 160ms, upright T waves in lateral leads. ECG paper with pink grid lines, black waveform tracing."
NORM_02,NORM,"Medical ECG strip showing a healthy adult heart rhythm. Normal axis, regular rate around 65 bpm, clear P-QRS-T morphology visible across all 12 leads including limb leads I II III aVR aVL aVF and precordial leads V1 through V6. Clinical paper printout format."
NORM_03,NORM,"12-lead electrocardiogram of a normal healthy heart. Sinus rhythm 75 bpm, isoelectric baseline, no ST changes, normal QRS complexes in all leads. Standard ECG paper background with millimeter grid, hospital cardiology department printout."
NORM_04,NORM,"Electrocardiogram showing perfectly normal cardiac electrical activity. Rate 68 bpm, consistent RR intervals, P wave axis normal, QRS axis between 0 and 90 degrees, T waves concordant with QRS. Standard 25mm per second paper speed, 10mm per millivolt calibration."
NORM_05,NORM,"Clinical ECG recording of normal sinus rhythm. Lead II shows clear upright P waves, leads V1-V4 show normal R wave progression, aVR shows inverted P and T waves as expected. No pathological findings. ECG paper grid visible, black ink tracing."
NORM_06,NORM,"Normal resting 12-lead ECG from cardiology clinic. Heart rate 80 bpm, PR interval 140ms, QRS 90ms, QTc 420ms. All intervals within normal limits. Standard clinical ECG printout with pink millimeter paper."
NORM_07,NORM,"Standard 12-lead ECG demonstrating normal sinus rhythm in an adult patient. Visible P waves, narrow QRS complexes, normal ST segments sitting on the isoelectric baseline, positive T waves in I aVL V4 V5 V6. Hospital ECG paper format."
NORM_08,NORM,"ECG tracing showing textbook normal cardiac cycle. Three rows of four leads each plus a continuous Lead II rhythm strip at the bottom. Regular beat to beat intervals, clean baseline, no artifact. Clinical printout on standard ECG graph paper."
MI_01,MI,"12-lead ECG showing acute anterior STEMI. Marked ST segment elevation in leads V1 V2 V3 V4 forming a tombstone or convex pattern. Reciprocal ST depression visible in inferior leads II III aVF. Clinical emergency ECG printout, pink grid paper."
MI_02,MI,"Electrocardiogram demonstrating inferior wall myocardial infarction. ST elevation in leads II III and aVF greater than 1mm. Pathological Q waves developing in inferior leads. Reciprocal changes with ST depression in leads I and aVL. Standard 12-lead ECG paper."
MI_03,MI,"12-lead ECG of lateral wall MI. ST elevation in leads I aVL V5 V6. Hyperacute tall peaked T waves in lateral precordial leads. Early Q wave formation. Standard clinical ECG recording on millimeter grid paper."
MI_04,MI,"Acute myocardial infarction ECG showing classic STEMI pattern. Marked ST elevation greater than 2mm in anterior leads, loss of R wave progression in V1 through V4, deep Q waves forming. Emergency cardiac ECG printout."
MI_05,MI,"12-lead ECG with posterior MI pattern. Dominant R waves in V1 V2 with ST depression in anterior leads representing reciprocal changes from posterior wall infarction. Concurrent inferior ST elevation in II III aVF. Clinical cardiology ECG."
MI_06,MI,"Electrocardiogram showing evolving anterior myocardial infarction. Coved ST elevation in V2 V3 V4, beginning Q wave formation, T wave inversion in affected leads. Surrounding leads show reciprocal depression. Hospital ECG paper printout."
MI_07,MI,"12-lead ECG demonstrating inferolateral STEMI. ST elevation in II III aVF I aVL V5 V6. Widespread injury pattern. Rate 88 bpm with sinus rhythm underlying the infarction changes. Standard ECG paper with millimeter grid."
MI_08,MI,"Clinical ECG printout showing subacute MI pattern. Deep symmetric T wave inversions in anterior leads V1 through V4 with resolved ST elevation suggesting hours old infarction. Pathological Q waves present. Cardiology department ECG tracing."
AFIB_01,AFIB,"12-lead ECG showing atrial fibrillation. Complete absence of organized P waves replaced by chaotic fibrillatory baseline especially visible in V1 and inferior leads. Irregularly irregular QRS rhythm at ventricular rate of 110 bpm. Clinical ECG paper."
AFIB_02,AFIB,"Electrocardiogram demonstrating atrial fibrillation with rapid ventricular response. No discernible P waves, undulating fibrillatory baseline, variable RR intervals throughout all 12 leads. Rate approximately 130 bpm. Hospital ECG printout."
AFIB_03,AFIB,"12-lead ECG of controlled atrial fibrillation. Absent P waves, fine fibrillatory activity in baseline, completely irregular ventricular rhythm at rate 75 bpm. Narrow QRS complexes suggesting no aberrant conduction. Standard ECG recording."
AFIB_04,AFIB,"Clinical ECG showing atrial fibrillation. The RR intervals vary beat to beat in an unpredictable pattern. Coarse fibrillatory waves visible between QRS complexes. Ventricular rate 95 bpm. Standard 12-lead format with pink millimeter paper."
AFIB_05,AFIB,"Electrocardiogram of longstanding atrial fibrillation. No P waves anywhere in the 10 second tracing, irregularly irregular QRS at 85 bpm, slightly variable QRS morphology due to aberrant conduction. Clinical ECG printout."
AFIB_06,AFIB,"12-lead ECG demonstrating paroxysmal atrial fibrillation. Chaotic atrial activity replacing normal P waves, irregular ventricular response, rate varying between 90 and 140 bpm throughout tracing. Cardiology ECG paper format."
AFIB_07,AFIB,"Standard clinical ECG showing atrial fibrillation with complete RR irregularity. Fine fibrillatory baseline most prominent in lead V1. No two RR intervals equal. Ventricular rate averages 100 bpm. Pink grid ECG paper, black ink tracing."
AFIB_08,AFIB,"12-lead ECG of atrial fibrillation with slow ventricular response after rate control medication. Fibrillatory baseline present, rate 60 bpm but totally irregular. Narrow QRS complexes, no flutter waves. Hospital ECG recording."
TACHY_01,TACHY,"12-lead ECG showing sinus tachycardia at 135 beats per minute. Regular rhythm with visible P waves before every QRS, shortened PR interval, narrow QRS complexes, rate-related ST changes. Clinical ECG paper with millimeter grid."
TACHY_02,TACHY,"Electrocardiogram demonstrating sinus tachycardia at 120 bpm. Rapid but completely regular rhythm, normal P wave morphology, 1 to 1 AV conduction, narrow QRS, T waves merging with preceding P waves due to fast rate. Standard 12-lead ECG."
TACHY_03,TACHY,"12-lead ECG of supraventricular tachycardia at 150 bpm. Regular rapid rhythm, narrow QRS complexes, P waves partially buried in T waves. Abrupt onset suggested by uniform beat morphology. Clinical cardiology ECG printout."
TACHY_04,TACHY,"Clinical ECG showing sinus tachycardia at 110 bpm in context of physiological stress. Regular RR intervals, normal axis, slight ST depression in lateral leads V5 V6 consistent with rate-related demand ischemia. Hospital ECG paper."
TACHY_05,TACHY,"Electrocardiogram demonstrating rapid sinus tachycardia at 155 bpm. Very short RR intervals, P waves visible but close to preceding T waves, narrow QRS, no delta waves. Standard 12-lead ECG recording on pink grid paper."
TACHY_06,TACHY,"12-lead ECG of AVNRT presenting as regular narrow complex tachycardia at 170 bpm. No visible P waves as they are buried within QRS complexes. Sudden onset regular rapid rhythm. Emergency department ECG printout."
